College Name,Address,District,Type
SURYADATTA INSTITUTE OF MANAGEMENT AND MASS COMMUNICATION PGDM,"SURVEY NO. 342, BAVDHAN (BK) PUNE 411021 MAHARASHTRA",PUNE,Private-Self Financing
SIES SCHOOL OF BUSINESS STUDIES,"SRI. CHANDRASEKARENDRA SARASWATHI VIDYAPURAM PLOT 1E, SECTOR 5, NERUL , NAVI MUMBAI",THANE,Private-Self Financing
SVIMS BUSINESS SCHOOL,"PLOT NO-117,ROAD NO-7A,SEWERI-WADALA ESTATE, WADALA-WEST",MUMBAI CITY,Private-Self Financing
PRIN. L.N. WELINGKAR INSTITUTE OF MANAGEMENT DEVELOPMENT AND RESEARCH (PGDM),LAKHAMSI NAPOO ROAD,MUMBAI CITY,Private-Self Financing
KOHINOOR MANAGEMENT SCHOOL,KOHINOOR CITY KIROL ROAD,MUMBAI CITY,Private-Self Financing
SHRI VILE PARLE KELAVANI MANDALS NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES SVKMS NMIMS,"V. L. MEHTA ROAD, VILE PARLE (W), MUMBAI 40056.",MUMBAI SUBURBAN,Deemed to be University(Pvt)
FTII,"LAW COLLEGE ROAD, NEAR NAL STOP, PUNE,",PUNE,Government
PUNE BUSINESS SCHOOL,"SECTOR NO. 26, PRADHIKARAN, NIGDI, PUNE.",PUNE,Private-Self Financing
CENTRAL INSTITUE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,C-10/1 MIDC TADALI CHANDRAPUR,CHANDRAPUR,Government
IDEAL INSTITUTE OF MANAGEMENT,"GAT NO 377, KONDIGRE",KOLHAPUR,Private-Self Financing
"AUREOLE SCHOOL OF BUSINESS MANAGEMENT, PUNE","AT 116/3, AMBI, TAL - MAVAL, DIST - PUNE",PUNE,Private-Self Financing
KIRLOSKAR INSTITUTE OF MANAGEMENT,"GUT NO. 356 & 357, VILLAGE DHAMANE TAL MAVAL",PUNE,Private-Self Financing
N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA, PIN- 413256",SOLAPUR,Private-Self Financing
